,state,year,count,asc,dsc,asc_deflators
291,louisiana,2011,278,1.0220588235294117,0.9928571428571429,1.0988142292490115
292,louisiana,2012,280,1.0071942446043165,0.9722222222222222,1.1067193675889324
293,louisiana,2013,288,1.0285714285714285,1.0,1.138339920948616
294,maine,2000,200,1.0,1.0,1.0
295,maine,2001,200,1.0,1.0,1.0
296,maine,2002,200,1.0,0.9950248756218906,1.0
297,maine,2003,201,1.005,1.0,1.005
298,maine,2004,201,1.0,1.0,1.005
299,maine,2005,201,1.0,1.0,1.005
300,maine,2006,201,1.0,1.0,1.005
301,maine,2007,201,1.0,0.9901477832512315,1.005
302,maine,2008,203,1.0099502487562189,1.0,1.015
303,maine,2009,203,1.0,1.0,1.015
304,maine,2010,203,1.0,0.9950980392156863,1.015
305,maine,2011,204,1.0049261083743843,0.9230769230769231,1.02
306,maine,2012,221,1.0833333333333333,1.0,1.105
307,maine,2013,221,1.0,1.0,1.105
308,maryland,2000,185,1.0,1.0,1.0
309,maryland,2001,185,1.0,1.0,1.0
310,maryland,2002,185,1.0,1.0,1.0
311,maryland,2003,185,1.0,0.9946236559139785,1.0
312,maryland,2004,186,1.0054054054054054,1.0,1.0054054054054054
313,maryland,2005,186,1.0,0.9893617021276596,1.0054054054054054
314,maryland,2006,188,1.010752688172043,0.9947089947089947,1.016216216216216
315,maryland,2007,189,1.0053191489361701,0.9947368421052631,1.0216216216216214
316,maryland,2008,190,1.0052910052910053,1.0,1.0270270270270268
317,maryland,2009,190,1.0,0.9947643979057592,1.0270270270270268
318,maryland,2010,191,1.0052631578947369,1.0,1.032432432432432
319,maryland,2011,191,1.0,1.0,1.032432432432432
320,maryland,2012,191,1.0,1.0,1.032432432432432
321,maryland,2013,191,1.0,1.0,1.032432432432432
322,massachusetts,2000,433,1.0,0.9885844748858448,1.0
323,massachusetts,2001,438,1.0115473441108545,1.0,1.0115473441108545
324,massachusetts,2002,438,1.0,0.9954545454545455,1.0115473441108545
325,massachusetts,2003,440,1.004566210045662,0.9932279909706546,1.0161662817551962
326,massachusetts,2004,443,1.0068181818181818,0.9955056179775281,1.023094688221709
327,massachusetts,2005,445,1.0045146726862302,0.9632034632034632,1.0277136258660506
328,massachusetts,2006,462,1.0382022471910113,0.9956896551724138,1.066974595842956
329,massachusetts,2007,464,1.0043290043290043,0.9893390191897654,1.0715935334872977
330,massachusetts,2008,469,1.0107758620689655,0.9957537154989384,1.0831408775981521
331,massachusetts,2009,471,1.004264392324094,0.9957716701902748,1.087759815242494
332,massachusetts,2010,473,1.0042462845010616,0.9978902953586498,1.0923787528868358
333,massachusetts,2011,474,1.0021141649048626,1.0,1.0946882217090068
334,massachusetts,2012,474,1.0,1.0,1.0946882217090068
335,massachusetts,2013,474,1.0,1.0,1.0946882217090068
336,michigan,2000,794,1.0,1.0,1.0
337,michigan,2001,794,1.0,0.9974874371859297,1.0
338,michigan,2002,796,1.0025188916876575,0.998745294855709,1.0025188916876575
339,michigan,2003,797,1.0012562814070352,0.9974968710888611,1.0037783375314862
340,michigan,2004,799,1.002509410288582,0.99875,1.0062972292191434
341,michigan,2005,800,1.0012515644555695,1.0,1.0075566750629723
342,michigan,2006,800,1.0,0.9987515605493134,1.0075566750629723
343,michigan,2007,801,1.00125,0.9876695437731196,1.008816120906801
344,michigan,2008,811,1.0124843945068664,0.9950920245398773,1.021410579345088
345,michigan,2009,815,1.0049321824907522,0.9951159951159951,1.026448362720403
346,michigan,2010,819,1.0049079754601227,1.0,1.0314861460957179
347,michigan,2011,819,1.0,0.9951397326852977,1.0314861460957179
348,michigan,2012,823,1.0048840048840049,0.9987864077669902,1.0365239294710327
349,michigan,2013,824,1.0012150668286757,1.0,1.0377833753148615
350,minnesota,2000,336,1.0,1.0,1.0
351,minnesota,2001,336,1.0,1.0,1.0
352,minnesota,2002,336,1.0,0.9491525423728814,1.0
353,minnesota,2003,354,1.0535714285714286,0.9806094182825484,1.0535714285714286
354,minnesota,2004,361,1.0197740112994351,0.9944903581267218,1.074404761904762
355,minnesota,2005,363,1.005540166204986,0.9945205479452055,1.080357142857143
356,minnesota,2006,365,1.0055096418732783,0.9972677595628415,1.086309523809524
357,minnesota,2007,366,1.0027397260273974,0.9891891891891892,1.0892857142857146
358,minnesota,2008,370,1.010928961748634,0.9946236559139785,1.1011904761904765
359,minnesota,2009,372,1.0054054054054054,1.0,1.1071428571428574
360,minnesota,2010,372,1.0,0.9973190348525469,1.1071428571428574
361,minnesota,2011,373,1.0026881720430108,0.9973262032085561,1.110119047619048
362,minnesota,2012,374,1.002680965147453,0.9842105263157894,1.1130952380952384
363,minnesota,2013,380,1.0160427807486632,1.0,1.1309523809523814
364,mississippi,2000,225,1.0,1.0,1.0
365,mississippi,2001,225,1.0,1.0,1.0
366,mississippi,2002,225,1.0,1.0,1.0
367,mississippi,2003,225,1.0,1.0,1.0
