,state,agency
1090,california,CA02701
1091,california,CA02702
1092,california,CA02703
1093,california,CA02704
1094,california,CA02705
1095,california,CA02706
1096,california,CA02707
1097,california,CA02708
1098,california,CA02709
1099,california,CA02710
1100,california,CA02711
1101,california,CA02712
1102,california,CA02717
1103,california,CA02719
1104,california,CA02799
1105,california,CA02800
1106,california,CA02801
1107,california,CA02802
1108,california,CA02803
1109,california,CA02809
1110,california,CA02810
1111,california,CA02899
1112,california,CA02900
1113,california,CA02901
1114,california,CA02902
1115,california,CA02999
1116,california,CA03000
1117,california,CA03001
1118,california,CA03002
1119,california,CA03003
1120,california,CA03004
1121,california,CA03005
1122,california,CA03006
1123,california,CA03007
1124,california,CA03008
1125,california,CA03009
1126,california,CA03010
1127,california,CA03011
1128,california,CA03012
1129,california,CA03013
1130,california,CA03014
1131,california,CA03015
1132,california,CA03016
1133,california,CA03017
1134,california,CA03018
1135,california,CA03019
1136,california,CA03020
1137,california,CA03021
1138,california,CA03022
1139,california,CA03023
1140,california,CA03024
1141,california,CA03025
1142,california,CA03026
1143,california,CA03027
1144,california,CA03032
1145,california,CA03035
1146,california,CA03036
1147,california,CA03039
1148,california,CA03042
1149,california,CA03043
1150,california,CA03047
1151,california,CA03048
1152,california,CA03091
1153,california,CA03097
1154,california,CA03099
1155,california,CA03100
1156,california,CA03101
1157,california,CA03103
1158,california,CA03104
1159,california,CA03105
1160,california,CA03199
1161,california,CA03200
1162,california,CA03299
1163,california,CA03300
1164,california,CA03301
1165,california,CA03302
1166,california,CA03303
1167,california,CA03305
1168,california,CA03306
1169,california,CA03308
1170,california,CA03309
1171,california,CA03310
1172,california,CA03311
1173,california,CA03312
1174,california,CA03313
1175,california,CA03314
1176,california,CA03315
1177,california,CA03316
1178,california,CA03317
1179,california,CA03318
1180,california,CA03324
1181,california,CA03325
1182,california,CA03330
1183,california,CA03331
1184,california,CA03332
1185,california,CA03338
1186,california,CA03340
1187,california,CA03341
1188,california,CA03342
1189,california,CA03344
1190,california,CA03397
1191,california,CA03399
1192,california,CA03400
1193,california,CA03401
1194,california,CA03402
1195,california,CA03403
1196,california,CA03404
1197,california,CA03408
1198,california,CA03412
1199,california,CA03420
1200,california,CA03422
1201,california,CA03433
1202,california,CA03497
1203,california,CA03499
1204,california,CA03500
1205,california,CA03501
1206,california,CA03599
1207,california,CA03600
1208,california,CA03601
1209,california,CA03602
1210,california,CA03603
1211,california,CA03604
1212,california,CA03605
1213,california,CA03606
1214,california,CA03607
1215,california,CA03608
1216,california,CA03609
1217,california,CA03610
1218,california,CA03611
1219,california,CA03612
1220,california,CA03613
1221,california,CA03614
1222,california,CA03616
1223,california,CA03620
1224,california,CA03621
1225,california,CA03622
1226,california,CA03623
1227,california,CA03630
1228,california,CA03631
1229,california,CA03632
1230,california,CA03633
1231,california,CA03635
1232,california,CA03640
1233,california,CA03641
1234,california,CA03650
1235,california,CA03699
1236,california,CA03700
1237,california,CA03701
1238,california,CA03702
1239,california,CA03703
1240,california,CA03704
1241,california,CA03705
1242,california,CA03706
1243,california,CA03707
1244,california,CA03708
1245,california,CA03709
1246,california,CA03710
1247,california,CA03711
1248,california,CA03712
1249,california,CA03713
1250,california,CA03714
1251,california,CA03715
1252,california,CA03722
1253,california,CA03724
1254,california,CA03725
1255,california,CA03797
1256,california,CA03799
1257,california,CA037A1
1258,california,CA037A2
1259,california,CA037A3
1260,california,CA037A4
1261,california,CA037A5
1262,california,CA03801
1263,california,CA03803
1264,california,CA03805
1265,california,CA03897
1266,california,CA03899
1267,california,CA03900
1268,california,CA03901
1269,california,CA03902
1270,california,CA03903
1271,california,CA03904
1272,california,CA03905
1273,california,CA03906
1274,california,CA03915
1275,california,CA03999
1276,california,CA04000
1277,california,CA04001
1278,california,CA04002
1279,california,CA04003
1280,california,CA04004
1281,california,CA04005
1282,california,CA04006
1283,california,CA04007
1284,california,CA04008
1285,california,CA04012
1286,california,CA04013
1287,california,CA04014
1288,california,CA04016
1289,california,CA04099
1290,california,CA04100
1291,california,CA04101
1292,california,CA04102
1293,california,CA04103
1294,california,CA04104
1295,california,CA04105
1296,california,CA04106
1297,california,CA04107
